,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
1799,Aberlestraße,,593,48.122345,11.544573,1.0,,689357.7685894093,5333030.263799168,True
1800,Aberlestraße,593.0,212248,48.122562,11.545391,,,689417.8385591875,5333056.394797471,True
1801,Aberlestraße,593.0,292263,48.122707,11.545112,,,689396.5446287754,5333071.822437866,True
1802,Aberlestraße,593.0,636618,48.122272,11.543522,,,689279.8309261614,5333019.563606033,True
2006,Abtstraße,,345070,48.18423,11.578772,1.0,,691671.7967434924,5339992.720391936,True
2007,Abtstraße,345070.0,268051,48.184177,11.578574,,,691657.278840882,5339986.336190563,True
2008,Abtstraße,345070.0,48948,48.184284,11.578934,,,691683.6353227368,5339999.125951394,True
4656,Ackermannbogen,,581272,48.165035,11.556197,1.0,,690064.9623474064,5337803.371937008,True
4657,Ackermannbogen,581272.0,207606,48.165012,11.555065,,,689980.8840602231,5337798.016908792,True
4658,Ackermannbogen,581272.0,29199,48.165005,11.556287,,,690071.7646788071,5337800.260407522,True
4663,Ackermannstraße,,311608,48.1679,11.564902,1.0,,690701.5442627944,5338143.343762597,True
4664,Ackermannstraße,311608.0,115865,48.16816,11.564722,,,690687.1977663846,5338171.792712965,True
4665,Ackermannstraße,311608.0,13148,48.16752,11.564839,,,690698.2700955727,5338100.955407984,True
4666,Ackermannstraße,311608.0,447582,48.16829,11.565019,,,690708.7958543287,5338186.977495296,True
4667,Ackermannstraße,311608.0,501971,48.168278,11.565162,,,690719.4716234286,5338185.998726605,True
5197,Adilostraße,,409430,48.106308,11.621199,1.0,,695120.3150489137,5331439.495550112,True
5198,Adilostraße,409430.0,264495,48.106255,11.621119,,,695114.5610704415,5331433.402449341,True
5199,Adilostraße,409430.0,651185,48.10638,11.62128,,,695126.0714872319,5331447.702766643,True
5438,Adunistraße,,400418,48.109493,11.534269,1.0,,688638.1026384569,5331576.619883895,True
5439,Adunistraße,400418.0,417110,48.10967,11.534117,,,688626.1412316957,5331595.918263063,True
5440,Adunistraße,400418.0,418217,48.109295,11.534359,,,688645.5263637374,5331554.835613919,True
5740,Agnes-Bernauer-Platz,,601755,48.13986,11.496028,1.0,,685682.2890410268,5334858.441942802,True
5741,Agnes-Bernauer-Platz,601755.0,166390,48.13977,11.496558,,,685722.0384220101,5334849.71969615,True
5742,Agnes-Bernauer-Platz,601755.0,54714,48.139954,11.495534,,,685645.2032572865,5334867.695933639,True
5743,Agnes-Bernauer-Straße,,500849,48.13935,11.511138,1.0,,686808.1120324875,5334838.363514056,True
5744,Agnes-Bernauer-Straße,500849.0,248671,48.139374,11.510734,,,686777.972723363,5334840.0493003195,True
5745,Agnes-Bernauer-Straße,500849.0,441185,48.139385,11.51165,,,686846.0709147257,5334843.497417509,True
5746,Agnes-Bernauer-Straße,500849.0,495487,48.13932,11.511533,,,686837.6036720725,5334835.989193913,True
5747,Agnes-Bernauer-Straße,500849.0,516928,48.139145,11.511722,,,686852.2981533012,5334816.999519844,True
7833,Aichacher Straße,,639863,48.10487,11.518235,1.0,,687461.5166198984,5331023.640072801,True
7834,Aichacher Straße,639863.0,116647,48.105007,11.518351,,,687469.6527807296,5331039.148435114,True
7835,Aichacher Straße,639863.0,302953,48.104862,11.518432,,,687476.2097148411,5331023.231059532,True
8035,Aidenbachstraße,,403322,48.097965,11.524253,1.0,,687934.6564334992,5330270.926736605,True
8036,Aidenbachstraße,403322.0,100859,48.09785,11.525143,,,688001.3332599091,5330260.32049731,True
8037,Aidenbachstraße,403322.0,122366,48.09761,11.524038,,,687919.9448826407,5330230.9482198,True
8038,Aidenbachstraße,403322.0,177174,48.097996,11.523858,,,687905.1370666039,5330273.407152067,True
8039,Aidenbachstraße,403322.0,240376,48.09756,11.524307,,,687940.1534433163,5330226.0484872265,True
8040,Aidenbachstraße,403322.0,371658,48.098095,11.524271,,,687935.5224064488,5330285.418411953,True
8041,Aidenbachstraße,403322.0,588737,48.09791,11.525169,,,688003.0499956298,5330267.05220263,True
8042,Aidenbachstraße,403322.0,618989,48.09784,11.523508,,,687879.6495332394,5330255.215138506,True
8043,Aidenbachstraße,403322.0,658665,48.09797,11.524361,,,687942.6784139324,5330271.74623918,True
8182,Aindorferstraße,,230080,48.131348,11.502873,1.0,,686222.2560624243,5333928.997373941,True
8183,Aindorferstraße,230080.0,289283,48.13167,11.503035,,,686233.143638257,5333965.175794071,True
8184,Aindorferstraße,230080.0,297297,48.131947,11.502739,,,686210.1198611776,5333995.243890199,True
8185,Aindorferstraße,230080.0,331778,48.13125,11.5029,,,686224.6193434936,5333918.1713427855,True
8186,Aindorferstraße,230080.0,374777,48.1308,11.502783,,,686217.5425798283,5333867.876392887,True
8995,Albrechtstraße,,140352,48.155544,11.540216,1.0,,688911.6506521865,5336709.172212934,True
8996,Albrechtstraße,140352.0,602070,48.155663,11.540558,,,688936.6456545887,5336723.238088498,True
8997,Albrechtstraße,140352.0,667084,48.155598,11.540207,,,688910.7830420178,5336715.15148935,True
9975,Allach,,168686,48.189938,11.467875,1.0,,683409.377106805,5340356.393209724,True
9976,Allach,168686.0,196199,48.19021,11.467381,,,683371.695235017,5340385.44359204,True
9977,Allach,168686.0,226989,48.189842,11.467498,,,683381.7035430437,5340344.824007256,True
9978,Allach,168686.0,636128,48.190052,11.466923,,,683338.2236347366,5340366.790704352,True
9979,Allach,168686.0,688778,48.190224,11.467605,,,683388.2914319022,5340387.53419517,True
9980,Allach Bf. Ost,,112640,48.19277,11.468387,1.0,,683437.312425057,5340672.358969135,True
9981,Allach Bf. Ost,112640.0,656122,48.19277,11.468387,,,683437.312425057,5340672.358969135,True
9982,Allacher Forstweg,,597379,48.210773,11.481278,1.0,,684330.5998114801,5342704.041553028,True
9983,Allacher Forstweg,597379.0,126378,48.210773,11.481278,,1,684330.5998114801,5342704.041553028,True
10423,Allescherstraße,,353308,48.08253,11.519959,1.0,,687671.1660851972,5328545.06058353,True
10424,Allescherstraße,353308.0,109882,48.082375,11.520121,,,687683.7941860431,5328528.229590293,True
10425,Allescherstraße,353308.0,614842,48.082718,11.519771,,,687656.4817779374,5328565.495688702,True
10452,Allgäuer Straße,,611929,48.081936,11.485527,1.0,,685109.1859229921,5328395.649841905,True
10453,Allgäuer Straße,611929.0,125463,48.081684,11.485724,,,685124.76115441,5328368.1173722595,True
10454,Allgäuer Straße,611929.0,170233,48.08208,11.48515,,,685080.5939540912,5328410.746714062,True
10492,Allinger Straße,,222494,48.167595,11.410985,1.0,,679259.5780035483,5337738.979757441,True
10493,Allinger Straße,222494.0,131475,48.16761,11.411039,,,679263.5404067648,5337740.772783414,True
10494,Allinger Straße,222494.0,208188,48.167576,11.410913,,,679254.2913090306,5337736.700198854,True
10779,Alois-Hahn-Weg,,515493,48.105057,11.661758,1.0,,698144.0795593915,5331404.1438766895,True
