HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
1;Karlsplatz (Stachus);München;de:09162:1;48,1393673;11,565396
2;Marienplatz;München;de:09162:2;48,1364359;11,577658
3;Isartor;München;de:09162:3;48,1338939;11,5828233
4;Rosenheimer Platz;München;de:09162:4;48,1285878;11,5938996
5;Ostbahnhof;München;de:09162:5;48,1281381;11,6040685
6;Hauptbahnhof (S, U, Bus, Tram);München;de:09162:6;48,1403145;11,56112
7;Hackerbrücke;München;de:09162:7;48,1435394;11,5487772
8;Donnersbergerbrücke;München;de:09162:8;48,1426763;11,5346197
9;Laim;München;de:09162:9;48,1431258;11,5031877
10;Pasing;München;de:09162:10;48,148832;11,4606435
11;Leonrodplatz;München;de:09162:11;48,1594635;11,5474297
12;Hochschule München (Lothstr.);München;de:09162:12;48,1542679;11,5538347
13;Sandstraße;München;de:09162:13;48,1505821;11,5581107
14;Karlspl.(Stachus) Nord;München;de:09162:14;48,1398589;11,5647223
15;Karlstraße;München;de:09162:15;48,1447802;11,5596378
16;Lenbachplatz;München;de:09162:16;48,140878;11,5685042
17;Nationaltheater;München;de:09162:17;48,1393613;11,5786462
18;Kammerspiele;München;de:09162:18;48,1385221;11,5830749
19;Maxmonument;München;de:09162:19;48,1375509;11,5880964
20;Marienplatz (Theatinerstraße);München;de:09162:20;48,1394872;11,5753134
21;Maximilianeum;München;de:09162:21;48,1360702;11,5959657
22;Flurstraße;München;de:09162:22;48,1356265;11,6048051
23;Grillparzerstraße;München;de:09162:23;48,136316;11,609144
25;Alter Messeplatz;München;de:09162:25;48,1345534;11,5462888
26;Isartor/Zweibrückenstraße;München;de:09162:26;48,1327728;11,5836049
27;Ridlerstraße;München;de:09162:27;48,1306684;11,5392461
28;Rindermarkt;München;de:09162:28;48,1358903;11,5740288
29;Landshuter Allee;München;de:09162:29;48,1517148;11,5369464
30;Poccistraße;München;de:09162:30;48,1250861;11,5496216
31;Hirschgarten;München;de:09162:31;48,1435215;11,5194831
32;Hochschule München;München;de:09162:32;48,1553945;11,5532957
34;Nordbad;München;de:09162:34;48,1609256;11,5634107
35;Görresstraße;München;de:09162:35;48,1559818;11,562207
36;Georgenstraße;München;de:09162:36;48,1551608;11,5834611
38;Müllerstraße;München;de:09162:38;48,1313699;11,5715225
40;Goetheplatz;München;de:09162:40;48,1295472;11,5584161
41;Eduard-Schmid-Straße;München;de:09162:41;48,1262674;11,5784306
42;Mariahilfplatz;München;de:09162:42;48,1243546;11,5810806
43;Kurfürstenplatz;München;de:09162:43;48,1603383;11,574981
44;Winzererstraße;München;de:09162:44;48,1576957;11,560078
45;Infanteriestraße Süd;München;de:09162:45;48,1565032;11,5588922
46;Haidenauplatz;München;de:09162:46;48,1324491;11,6100692
47;Elisabethplatz;München;de:09162:47;48,1576418;11,575017
48;Nordendstraße;München;de:09162:48;48,1548791;11,5754122
49;Schellingstraße;München;de:09162:49;48,1510256;11,5732652
50;Sendlinger Tor;München;de:09162:50;48,1333004;11,5664021
51;Pinakotheken;München;de:09162:51;48,1479749;11,571289
52;Karolinenplatz;München;de:09162:52;48,1455474;11,5697079
53;Ottostraße;München;de:09162:53;48,1423346;11,5677765
54;Donnersbergerstraße;München;de:09162:54;48,1462847;11,5358953
55;Hermann-Lingg-Straße;München;de:09162:55;48,1390376;11,5516518
56;Georg-Hirth-Platz;München;de:09162:56;48,1346074;11,5560445
57;Beethovenplatz;München;de:09162:57;48,1331505;11,5580208
58;Kapuzinerplatz/ Arbeitsagentur;München;de:09162:58;48,1267591;11,5584341
59;Kapuzinerstraße;München;de:09162:59;48,1251341;11,5618746
60;Odeonsplatz;München;de:09162:60;48,142922;11,5777389
61;Baldeplatz;München;de:09162:61;48,1233771;11,5670938
62;Claude-Lorrain-Straße;München;de:09162:62;48,1210864;11,5714057
63;Humboldtstraße;München;de:09162:63;48,1194912;11,5753404
64;Barthstraße;München;de:09162:64;48,1402785;11,530227
65;Trappentreustraße;München;de:09162:65;48,1400088;11,5344221
66;Schrenkstraße;München;de:09162:66;48,1396251;11,5412852
67;Holzapfelstraße;München;de:09162:67;48,1392415;11,5471063
68;Reichenbachplatz;München;de:09162:68;48,1332824;11,5766249
69;Deutsches Museum;München;de:09162:69;48,1318555;11,5861201
70;Universität;München;de:09162:70;48,1490118;11,5805147
71;Am Gasteig;München;de:09162:71;48,1328447;11,5915999
72;Wiener Platz;München;de:09162:72;48,1340918;11,595804
73;Friedensengel/Villa Stuck;München;de:09162:73;48,1407341;11,60008
74;Holbeinstraße;München;de:09162:74;48,1431918;11,6013466
75;Sternwartstraße;München;de:09162:75;48,1460869;11,60326
76;Herkomerplatz;München;de:09162:76;48,1508638;11,6088206
77;Mauerkircherstraße;München;de:09162:77;48,148832;11,6007806
78;Tivolistraße;München;de:09162:78;48,1500367;11,596343
79;Paradiesstraße;München;de:09162:79;48,1463326;11,5929923
80;Giselastraße;München;de:09162:80;48,1571444;11,5849344
81;Nationalmuseum/Haus der Kunst;München;de:09162:81;48,1430839;11,5884917
82;Astallerstraße;München;de:09162:82;48,1355066;11,5305234
83;Tumblingerstraße;München;de:09162:83;48,1232332;11,5538796
84;Mariannenplatz;München;de:09162:84;48,1352069;11,58674
85;Kazmairstraße;München;de:09162:85;48,1349911;11,5339909
86;Maxvorstadt/Samml. Brandhorst;München;de:09162:86;48,1483585;11,5742714
87;Bergmannstraße;München;de:09162:87;48,1349131;11,5374045
88;Wörthstraße;München;de:09162:88;48,1320773;11,5978791
89;Orleansstraße;München;de:09162:89;48,12529;11,5994691
90;Holzkirchner Bahnhof;München;de:09162:90;48,1391755;11,5559278
91;Bundesfinanzhof;München;de:09162:91;48,1482446;11,6055058
92;Kustermannpark;München;de:09162:92;48,1241986;11,6013196
93;Tal;München;de:09162:93;48,1360222;11,5794097
95;Technische Universität;München;de:09162:95;48,1483345;11,5654409
96;Klenzestraße;München;de:09162:96;48,125332;11,570741
97;Amalienstraße;München;de:09162:97;48,1477711;11,5764273
98;Klenzestraße/St.-Maximilian;München;de:09162:98;48,1266511;11,5730497
99;Seidlstraße;München;de:09162:99;48,141879;11,5568979
100;München Hbf;München;de:09162:100;48,1412496;11,5589461
101;Hans-Fischer-Straße;München;de:09162:101;48,1274366;11,5447168
102;Gollierplatz;München;de:09162:102;48,136316;11,5343323
103;Schlörstraße;München;de:09162:103;48,1498929;11,5368206
104;Albrechtstraße;München;de:09162:104;48,1556822;11,5404498
105;Fasaneriestraße;München;de:09162:105;48,1573481;11,5434861
106;Infanteriestraße;München;de:09162:106;48,1614529;11,553673
107;Barbarastraße;München;de:09162:107;48,1614229;11,5574549
108;Hohenzollernstraße;München;de:09162:108;48,1592417;11,5853476
109;Friedrichstraße;München;de:09162:109;48,1599309;11,5805596
110;Königsplatz;München;de:09162:110;48,1461768;11,5640126
111;Regerplatz;München;de:09162:111;48,1248582;11,5890037
112;Viktualienmarkt;München;de:09162:112;48,135093;11,5749451
113;Blumenstraße;München;de:09162:113;48,1331565;11,5740198
114;Gärtnerplatztheater;München;de:09162:114;48,1322452;11,5752505
115;Baaderstraße;München;de:09162:115;48,1299789;11,5784036
116;Schweigerstraße;München;de:09162:116;48,1267411;11,582994
117;Taubenstraße;München;de:09162:117;48,12189;11,5788797
