period_start,period_end,planned_trips,observed_trips,missing_trips,completeness_percent,observed_trips_with_delay
2026-09-11 00:03:36,2026-09-12 00:03:36,24627,11869,12758,48.2,
2026-09-12 00:03:36,2026-09-13 00:03:36,19969,533,19436,2.67,486.0
2026-09-13 00:03:36,2026-09-14 00:03:36,15548,657,14891,4.23,568.0
2026-09-14 00:03:36,2026-09-15 00:03:36,24229,1053,23176,4.35,998.0
2026-09-15 00:03:36,2026-09-16 00:03:36,27713,3586,24127,12.94,3298.0
2026-09-16 00:03:36,2026-09-17 00:03:36,27701,9940,17761,35.88,9722.0
2026-09-17 00:03:36,2026-09-18 00:03:36,27768,18969,8799,68.31,18492.0
2026-09-18 00:03:36,2026-09-19 00:03:36,27855,19325,8530,69.38,18962.0
2026-09-19 00:03:36,2026-09-20 00:03:36,19220,8944,10276,46.53,8811.0
2026-09-20 00:03:36,2026-09-21 00:03:36,14920,10920,4000,73.19,10777.0
2026-09-21 00:03:36,2026-09-22 00:03:36,24422,8663,15759,35.47,8395.0
2026-09-22 00:03:36,2026-09-22 14:55:20.313354,13499,372,13127,2.76,365.0
