route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,0,323,0,962,,
,000,138,3,385,,
,000,151,3,22467,,
,001,149,3,19889,,
,001,151,3,4693,,
,001,243,3,1510,73D700,FFFFFF
,002,149,3,3250,,
,002,151,3,6028,,
,003,149,3,4772,,
,003,151,3,15553,,
,004,149,3,22248,,
,004,151,3,15710,,
,005,149,3,22423,,
,005,151,3,18311,,
,006,149,3,12090,,
,006,151,3,8481,,
,006,243,3,9406,73D700,FFFFFF
,007,149,3,342,,
,007,151,3,5313,,
,007,243,3,20972,73D700,FFFFFF
,008,106,3,2573,,
,008,149,3,19650,,
,008,151,3,21582,,
,008,243,3,23229,73D700,FFFFFF
,009,106,3,16785,,
,009,149,3,3899,,
,009,151,3,21880,,
,010,149,3,21543,,
,010,151,3,18874,,
,011,151,3,13776,,
,011,243,3,1336,73D700,FFFFFF
,013,149,3,5259,,
,014,149,3,15548,,
,015,149,3,3076,,
,016,149,3,9530,,
,017,149,3,16548,,
,018,149,3,23572,,
,019,149,3,15735,,
,020,149,3,19905,,
,020,243,3,2317,73D700,FFFFFF
,021,149,3,735,,
,022,149,3,12262,,
,023,149,3,9102,,
,023,243,3,6576,73D700,FFFFFF
,024,149,3,10245,,
,024,243,3,7341,73D700,FFFFFF
,025,149,3,12273,,
,025,243,3,19870,73D700,FFFFFF
,026,149,3,19964,,
,027,149,3,423,,
,027,243,3,18106,73D700,FFFFFF
,029,149,3,282,,
,031,149,3,12958,,
,032,149,3,23664,,
,032,243,3,8766,73D700,FFFFFF
,033,149,3,16160,,
,034,149,3,3560,,
,034,243,3,10904,73D700,FFFFFF
,035,149,3,17882,,
,036,149,3,15825,,
,036,243,3,4659,73D700,FFFFFF
,037,243,3,17651,73D700,FFFFFF
,038,102,3,18471,,
,038,169,3,2187,,
,039,243,3,3350,73D700,FFFFFF
,040,243,3,9760,73D700,FFFFFF
,041,102,0,3060,,
,042,102,0,10097,,
,043,102,0,15023,,
,044,102,0,2238,,
,045,102,3,5230,,
,046,102,3,20490,,
,047,102,3,13145,,
,049,102,3,4753,,
,050,243,3,5902,73D700,FFFFFF
,051,102,3,10882,,
,052,102,3,4670,,
,053,102,3,5935,,
,054,102,3,17516,,
,055,102,3,21948,,
,056,102,3,7226,,
,056,243,3,4644,73D700,FFFFFF
,057,102,3,3041,,
,057,243,3,4230,73D700,FFFFFF
,057A,243,3,23322,73D700,FFFFFF
,058,102,3,9506,,
,059,102,3,21532,,
,060,102,3,20529,,
,060,243,3,20086,73D700,FFFFFF
,061,102,3,5586,,
,062,102,3,301,,
,063,322,3,8555,,
,064,102,3,13662,,
,065,102,3,22160,,
,065,243,3,8497,73D700,FFFFFF
,066,102,3,7075,,
,067,102,3,23038,,
,068,102,3,4523,,
,068,243,3,2955,73D700,FFFFFF
,068A,243,3,15976,73D700,FFFFFF
,069,102,3,5669,,
,070,243,3,14365,73D700,FFFFFF
,071,111,3,12593,,
,072,102,3,20644,,
,073,102,3,10555,,
,074,102,3,12674,,
,075,243,3,22027,73D700,FFFFFF
,076,111,3,2320,,
,076,243,3,23550,73D700,FFFFFF
,077,111,3,22879,,
,078,111,3,11045,,
,079,111,3,13728,,
,080,371,3,13411,,
,081,243,3,20208,73D700,FFFFFF
,081,371,3,19620,,
,082,243,3,8640,73D700,FFFFFF
,082,371,3,9192,,
,083,243,3,4932,73D700,FFFFFF
,083,371,3,13435,,
,084,243,3,11323,73D700,FFFFFF
,084,371,3,6354,,
,085,371,3,2963,,
,086,371,3,12034,,
,087,371,3,21437,,
,089,371,3,1049,,
,090,111,3,13976,,
,090,243,3,1666,73D700,FFFFFF
,091,111,3,2869,,
,091,243,3,22802,73D700,FFFFFF
,092,111,3,16832,,
,093,111,3,13864,,
,094,111,3,23331,,
,095,111,3,23495,,
,095,243,3,3128,73D700,FFFFFF
,096,111,3,1149,,
,097,149,3,1782,,
,098,149,3,1883,,
,1,106,0,781,,
,1,106,3,8688,,
,1,110,3,12515,,
,1,116,3,7751,,
,1,119,0,7434,,
,1,119,3,13234,,
,1,121,3,5396,,
,1,127,3,10128,,
,1,130,0,22490,,
,1,132,3,18648,,
,1,134,3,23142,,
,1,135,3,6143,,
,1,138,3,22175,,
,1,139,3,11689,,
,1,141,0,16048,009640,FFFFFF
,1,145,3,14331,,
,1,151,0,15113,,
,1,151,3,7044,,
,1,154,0,6405,,
,1,154,3,16631,,
,1,156,0,2976,,
,1,158,3,19265,,
,1,159,0,23052,,
,1,161,3,1359,,
,1,164,3,393,,
,1,166,0,8528,,
,1,169,3,1658,,
,1,172,3,14273,,
,1,175,3,16477,,
,1,178,3,8604,4F94CD,FFFFFF
,1,182,3,8134,,
,1,184,3,11034,,
,1,195,3,16233,,
,1,2,3,1716,,
,1,201,3,8709,,
,1,203,3,9830,,
,1,207,0,20068,,
,1,21,3,8983,,
,1,210,0,22161,65B32E,FFFFFF
,1,212,0,18016,,
,1,212,3,9249,,
,1,216,3,16171,,
,1,218,1,12506,,
,1,22,3,17665,,
,1,221,3,5284,,
,1,222,3,18057,,
,1,227,3,476,,
,1,239,3,15638,,
,1,245,0,5279,E2001A,FFFFFF
,1,247,3,16302,,
,1,253,0,14022,6A2F75,FFFFFF
,1,254,0,1687,,
,1,256,3,22645,,
,1,259,3,3645,,
,1,262,3,17787,,
,1,265,3,6609,,
,1,266,0,15586,,
,1,268,3,14601,,
,1,278,3,12507,,
,1,282,3,1014,,
,1,291,3,10179,,
,1,292,3,3208,,
,1,298,0,3934,,
,1,304,3,15239,,
,1,306,0,7652,,
,1,31,0,62,,
,1,313,0,20653,,
,1,313,3,16719,,
,1,322,3,9846,,
,1,323,0,23007,,
,1,324,3,1568,,
,1,330,3,18603,,
,1,333,3,7193,,
,1,335,3,137,,
,1,34,3,23561,,
,1,340,3,4452,,
,1,341,0,6514,,
,1,353,3,854,,
,1,354,3,3625,,
,1,358,0,8237,,
,1,365,3,8191,,
,1,367,3,16020,,
,1,378,3,556,,
,1,38,3,15294,,
,1,381,0,8358,,
,1,41,3,21866,,
,1,42,3,17252,,
,1,44,0,16131,,
,1,45,3,17774,,
,1,5,0,18238,,
,1,52,3,13404,,
,1,58,3,6896,,
,1,59,3,2169,,
,1,60,3,6554,,
,1,68,0,5001,F08A00,FFFFFF
,1,69,3,21467,,
,1,7,0,21,,
,1,7,3,11511,,
,1,71,0,20250,F18700,FFFFFF
,1,75,3,7893,,
,1,79,3,18719,,
,1,82,3,10535,,
,1,83,3,20181,,
,1,9,3,3524,,
,1,94,0,20871,,
,1,96,3,12263,,
,1,97,3,10761,,
,1 (Hoyerswerda),207,3,16980,,
,1 Blau,34,3,3459,,
,10,106,3,14445,,
,10,110,3,21224,,
,10,118,3,13498,,
,10,119,3,23710,,
,10,121,3,12789,,
,10,127,3,17540,,
,10,132,3,15630,,
,10,135,3,17501,,
,10,138,3,1659,,
,10,139,3,12274,,
,10,141,0,20186,312783,FFFFFF
,10,147,0,17374,,
,10,151,3,840,,
,10,154,0,13504,,
,10,155,3,11401,,
,10,156,0,19643,,
,10,159,3,6555,,
,10,164,3,9259,,
,10,172,3,11612,,
,10,176,3,9948,,
,10,195,3,17976,,
,10,196,3,2192,,
,10,20,3,14145,,
,10,201,3,23094,,
,10,205,3,3004,,
,10,205,7,22078,,
,10,207,0,21092,,
,10,210,0,7222,,
,10,216,3,13554,,
,10,218,1,10134,,
,10,221,3,2462,,
,10,247,3,20973,,
,10,253,3,2071,009FE3,FFFFFF
,10,254,3,9370,,
,10,262,3,15794,,
,10,268,3,16639,,
,10,282,3,9433,,
,10,291,3,16763,,
,10,292,3,18152,,
,10,298,3,14213,,
,10,304,3,19506,,
,10,31,0,18754,,
,10,313,3,10420,,
,10,323,3,23256,,
,10,330,3,10536,,
,10,34,3,18741,,
,10,340,3,12939,,
,10,354,3,11999,,
,10,358,3,1753,,
,10,365,3,9443,,
,10,367,3,12429,,
,10,378,3,8164,,
,10,42,3,10204,,
,10,44,0,22561,,
,10,5,3,1621,,
