line,mode
U1,U-Bahn
U2,U-Bahn
U3,U-Bahn
U4,U-Bahn
U5,U-Bahn
U6,U-Bahn
U7,U-Bahn
U8,U-Bahn
S1,S-Bahn
S2,S-Bahn
S3,S-Bahn
S4,S-Bahn
S5,S-Bahn
S6,S-Bahn
S7,S-Bahn
S8,S-Bahn
S20,S-Bahn
S27,S-Bahn
12,Tram
16,Tram
17,Tram
18,Tram
19,Tram
20,Tram
21,Tram
23,Tram
25,Tram
27,Tram
28,Tram
29,Tram
50,Bus
51,Bus
52,Bus
53,Bus
54,Bus
55,Bus
56,Bus
57,Bus
58,Bus
59,Bus
60,Bus
62,Bus
63,Bus
64,Bus
68,Bus
69,Bus
100,Bus
130,Bus
131,Bus
132,Bus
133,Bus
134,Bus
135,Bus
136,Bus
137,Bus
138,Bus
139,Bus
140,Bus
141,Bus
142,Bus
143,Bus
144,Bus
145,Bus
150,Bus
151,Bus
154,Bus
155,Bus
156,Bus
157,Bus
160,Bus
161,Bus
162,Bus
163,Bus
164,Bus
165,Bus
166,Bus
167,Bus
168,Bus
169,Bus
170,Bus
171,Bus
172,Bus
173,Bus
174,Bus
175,Bus
176,Bus
177,Bus
178,Bus
180,Bus
181,Bus
182,Bus
183,Bus
184,Bus
185,Bus
186,Bus
187,Bus
188,Bus
189,Bus
190,Bus
191,Bus
192,Bus
193,Bus
194,Bus
195,Bus
196,Bus
197,Bus
198,Bus
199,Bus
N40,Bus
N41,Bus
N43,Bus
N44,Bus
N45,Bus
N72,Bus
N74,Bus
N75,Bus
N76,Bus
N77,Bus
N78,Bus
N79,Bus
N80,Bus
N81,Bus
N82,Bus
N83,Bus
N84,Bus
N85,Bus
N86,Bus
N87,Bus
N90,Bus
N91,Bus
N92,Bus
N93,Bus
N94,Bus
N95,Bus
N96,Bus
N97,Bus
N98,Bus
N99,Bus
