,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
1755,Aberlestraße,429491.0,264294,48.122272,11.543522,,,689279.8309261614,5333019.563606033,True
1756,Aberlestraße,429491.0,369496,48.122562,11.545391,,,689417.8385591875,5333056.394797471,True
1757,Aberlestraße,429491.0,82933,48.122707,11.545112,,,689396.5446287754,5333071.822437866,True
1964,Abtstraße,154154.0,473896,48.184284,11.578934,,,691683.6353227368,5339999.125951394,True
1965,Abtstraße,154154.0,506866,48.184177,11.578574,,,691657.278840882,5339986.336190563,True
4537,Ackermannbogen,131398.0,335808,48.165012,11.555065,,,689980.8840602231,5337798.016908792,True
4538,Ackermannbogen,131398.0,366002,48.165005,11.556287,,,690071.7646788071,5337800.260407522,True
4544,Ackermannstraße,682533.0,413548,48.16752,11.564839,,,690698.2700955727,5338100.955407984,True
4545,Ackermannstraße,682533.0,608673,48.16829,11.565019,,,690708.7958543287,5338186.977495296,True
4546,Ackermannstraße,682533.0,677474,48.16816,11.564722,,,690687.1977663846,5338171.792712965,True
4547,Ackermannstraße,682533.0,95596,48.168278,11.565162,,,690719.4716234286,5338185.998726605,True
5078,Adilostraße,397365.0,335039,48.106255,11.621119,,,695114.5610704415,5331433.402449341,True
5079,Adilostraße,397365.0,617901,48.10638,11.62128,,,695126.0714872319,5331447.702766643,True
5322,Adunistraße,371132.0,207126,48.109295,11.534359,,,688645.5263637374,5331554.835613919,True
5323,Adunistraße,371132.0,312255,48.10967,11.534117,,,688626.1412316957,5331595.918263063,True
5616,Agnes-Bernauer-Platz,620570.0,32577,48.139954,11.495534,,,685645.2032572865,5334867.695933639,True
5617,Agnes-Bernauer-Platz,620570.0,58677,48.13977,11.496558,,,685722.0384220101,5334849.71969615,True
5619,Agnes-Bernauer-Straße,45427.0,153338,48.13932,11.511533,,,686837.6036720725,5334835.989193913,True
5620,Agnes-Bernauer-Straße,45427.0,167721,48.139385,11.51165,,,686846.0709147257,5334843.497417509,True
5621,Agnes-Bernauer-Straße,45427.0,180559,48.139374,11.510734,,,686777.972723363,5334840.0493003195,True
5622,Agnes-Bernauer-Straße,45427.0,65121,48.139145,11.511722,,,686852.2981533012,5334816.999519844,True
7693,Aichacher Straße,451907.0,465377,48.105007,11.518351,,,687469.6527807296,5331039.148435114,True
7694,Aichacher Straße,451907.0,64697,48.104862,11.518432,,,687476.2097148411,5331023.231059532,True
7893,Aidenbachstraße,39343.0,134859,48.098095,11.524271,,,687935.5224064488,5330285.418411953,True
7894,Aidenbachstraße,39343.0,246237,48.09797,11.524361,,,687942.6784139324,5330271.74623918,True
7895,Aidenbachstraße,39343.0,248645,48.09756,11.524307,,,687940.1534433163,5330226.0484872265,True
7896,Aidenbachstraße,39343.0,272329,48.09761,11.524038,,,687919.9448826407,5330230.9482198,True
7897,Aidenbachstraße,39343.0,341376,48.09785,11.525143,,,688001.3332599091,5330260.32049731,True
