route_long_name,route_short_name,agency_id,route_type,route_id,route_color,route_text_color
,0,158,0,20091,,
,000,129,3,15965,,
,000,354,3,14625,,
,001,129,3,7205,,
,001,20,3,11671,73D700,FFFFFF
,001,242,3,5086,,
,002,129,3,14148,,
,002,242,3,3252,,
,003,129,3,1366,,
,003,242,3,18674,,
,004,129,3,23321,,
,004,242,3,11823,,
,005,129,3,4456,,
,005,242,3,3009,,
,006,129,3,2908,,
,006,20,3,15905,73D700,FFFFFF
,006,242,3,9223,,
,007,129,3,19257,,
,007,20,3,23785,73D700,FFFFFF
,007,242,3,18226,,
,008,129,3,4782,,
,008,20,3,518,73D700,FFFFFF
,008,242,3,17976,,
,008,95,3,20508,,
,009,129,3,4443,,
,009,242,3,21456,,
,009,95,3,22210,,
,010,129,3,18919,,
,010,242,3,18628,,
,011,129,3,12087,,
,011,20,3,10513,73D700,FFFFFF
,013,242,3,14439,,
,014,242,3,6597,,
,015,242,3,18802,,
,016,242,3,16652,,
,017,242,3,21068,,
,018,242,3,19760,,
,019,242,3,11336,,
,020,20,3,14600,73D700,FFFFFF
,020,242,3,18539,,
,021,242,3,10249,,
,022,242,3,2403,,
,023,20,3,7277,73D700,FFFFFF
,023,242,3,11021,,
,024,20,3,20953,73D700,FFFFFF
,024,242,3,17016,,
,025,20,3,5033,73D700,FFFFFF
,025,242,3,20342,,
,026,242,3,23634,,
,027,20,3,4796,73D700,FFFFFF
,027,242,3,14767,,
,029,242,3,17600,,
,031,242,3,9585,,
,032,20,3,10381,73D700,FFFFFF
,032,242,3,17918,,
,033,242,3,11193,,
,034,20,3,14969,73D700,FFFFFF
,034,242,3,19007,,
,035,242,3,16614,,
,036,20,3,12229,73D700,FFFFFF
,036,242,3,6952,,
,037,20,3,13321,73D700,FFFFFF
,038,219,3,1303,,
,038,237,3,18399,,
,039,20,3,12001,73D700,FFFFFF
,040,20,3,3064,73D700,FFFFFF
,041,237,0,7482,,
,042,237,0,10464,,
,043,237,0,23152,,
,044,237,0,7055,,
,045,237,3,9254,,
,046,237,3,19084,,
,047,237,3,8348,,
,049,237,3,17323,,
,050,20,3,13001,73D700,FFFFFF
,051,237,3,16749,,
,052,237,3,11379,,
,053,237,3,10574,,
,054,237,3,16812,,
,055,237,3,21478,,
,056,20,3,4094,73D700,FFFFFF
,056,237,3,17359,,
,057,20,3,12482,73D700,FFFFFF
,057,237,3,10514,,
,057A,20,3,5957,73D700,FFFFFF
,058,237,3,12605,,
,059,237,3,5935,,
,060,20,3,14959,73D700,FFFFFF
,060,237,3,14970,,
,061,237,3,5256,,
,062,237,3,425,,
,063,275,3,7286,,
,064,237,3,22049,,
,065,20,3,19792,73D700,FFFFFF
,065,237,3,23219,,
,066,237,3,11321,,
,067,237,3,6175,,
,068,20,3,15819,73D700,FFFFFF
,068,237,3,19258,,
,068A,20,3,11014,73D700,FFFFFF
,069,237,3,15381,,
,070,20,3,16314,73D700,FFFFFF
,071,8,3,7751,,
,072,237,3,1959,,
,073,237,3,18820,,
,074,237,3,16500,,
,075,20,3,8608,73D700,FFFFFF
,076,20,3,20127,73D700,FFFFFF
,076,8,3,18956,,
,077,8,3,16182,,
,078,8,3,5567,,
,079,8,3,1477,,
,080,211,3,4984,,
,081,20,3,5164,73D700,FFFFFF
,081,211,3,12589,,
,082,20,3,2252,73D700,FFFFFF
,082,211,3,22313,,
,083,20,3,17046,73D700,FFFFFF
,083,211,3,7582,,
,084,20,3,23031,73D700,FFFFFF
,084,211,3,8751,,
,085,211,3,2249,,
,086,211,3,8579,,
,087,211,3,1523,,
,089,211,3,4272,,
,090,20,3,1336,73D700,FFFFFF
,090,8,3,641,,
,091,20,3,17295,73D700,FFFFFF
,091,8,3,6387,,
,092,8,3,10704,,
,093,8,3,1071,,
,094,8,3,16452,,
,095,20,3,4520,73D700,FFFFFF
,095,8,3,18926,,
,096,8,3,3856,,
,097,242,3,8311,,
,098,242,3,12512,,
,1,105,0,13032,,
,1,11,3,16274,,
,1,110,3,1416,,
,1,111,3,14110,,
,1,117,3,3119,,
,1,118,0,15805,,
,1,121,3,3080,,
,1,124,3,2091,,
,1,125,3,5658,,
,1,129,0,19931,,
,1,129,3,15287,,
,1,132,0,8954,,
,1,132,3,8857,,
,1,137,3,8646,,
,1,14,3,10096,,
,1,141,0,8820,,
,1,142,3,1691,,
,1,147,3,426,,
,1,149,3,12345,,
,1,158,0,3726,,
,1,161,3,321,,
,1,164,0,16275,E2001A,FFFFFF
,1,171,3,7472,,
,1,173,0,5657,,
,1,173,3,18558,,
,1,179,3,16699,,
,1,181,0,13165,,
,1,192,3,22258,,
,1,195,0,3372,,
,1,196,0,23050,,
,1,201,3,14177,,
,1,202,3,7121,,
